dataset,student,content,pool,depth,k,threshold,grid_stage,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,utility_vs_baseline05,accuracy,accuracy_answered,notas_media,pct_reusou_controle,similaridade_media,palavras_prompt,palavras_de_nota,mcnemar_p
logiqa2,llama3-8b,lesson_source,all,complex,3,0.65,completa,300,22,30,137,111,0.0733,0.1,-0.0267,0.5567,0.53,-0.0267,-0.02,0.53,0.5318,1.6733333333333333,0.26666666666666666,0.6866132427797171,465.0,276.0,0.3317497633694906
logiqa2,llama3-8b,lesson_source,all,complex,3,0.7,completa,300,11,11,156,122,0.0367,0.0367,0.0,0.5567,0.5567,0.0,0.0067,0.5567,0.5585,0.43,0.7433333333333333,0.7436826533569402,208.5,19.5,1.0
logiqa2,llama3-8b,lesson_source,errors,simple,1,0.0,completa,300,26,42,125,107,0.0867,0.14,-0.0533,0.5567,0.5033,-0.0533,-0.0467,0.5033,0.505,1.0,0.0,0.6599920223156611,375.5,186.5,0.06811867428409976
logiqa2,llama3-8b,lesson_source,errors,simple,1,0.65,completa,300,18,22,145,115,0.06,0.0733,-0.0133,0.5567,0.5433,-0.0133,-0.0067,0.5433,0.5452,0.5466666666666666,0.4533333333333333,0.6963538142239175,323.5,134.5,0.6358280026288412
logiqa2,llama3-8b,lesson_source,errors,simple,1,0.7,completa,300,6,8,159,127,0.02,0.0267,-0.0067,0.5567,0.55,-0.0067,0.0,0.55,0.5518,0.17666666666666667,0.8233333333333334,0.7460739353917679,199.0,10.0,0.79052734375
logiqa2,llama3-8b,lesson_source,errors,simple,3,0.0,completa,300,35,35,132,98,0.1167,0.1167,0.0,0.5567,0.5567,0.0,0.0067,0.5567,0.5585,3.0,0.0,0.6382393020391465,619.5,430.5,1.0
logiqa2,llama3-8b,lesson_source,errors,simple,3,0.65,completa,300,21,19,148,112,0.07,0.0633,0.0067,0.5567,0.5633,0.0067,0.0133,0.5633,0.5652,1.1833333333333333,0.4533333333333333,0.6828073277706053,342.5,153.5,0.8746293123804207
logiqa2,llama3-8b,lesson_source,errors,simple,3,0.7,completa,300,6,7,160,127,0.02,0.0233,-0.0033,0.5567,0.5533,-0.0033,0.0033,0.5533,0.5552,0.25333333333333335,0.8233333333333334,0.7377160673246445,199.0,10.0,1.0
logiqa2,llama3-8b,lesson_source,errors,complex,1,0.0,completa,300,22,37,130,111,0.0733,0.1233,-0.05,0.5567,0.5067,-0.05,-0.0433,0.5067,0.5067,1.0,0.0,0.661770022114118,372.0,183.0,0.06744461190078899
logiqa2,llama3-8b,lesson_source,errors,complex,1,0.65,completa,300,14,20,147,119,0.0467,0.0667,-0.02,0.5567,0.5367,-0.02,-0.0133,0.5367,0.5367,0.5566666666666666,0.44333333333333336,0.6978851820894344,324.0,135.0,0.39152830513194203
logiqa2,llama3-8b,lesson_source,errors,complex,1,0.7,completa,300,8,6,161,125,0.0267,0.02,0.0067,0.5567,0.5633,0.0067,0.0133,0.5633,0.5652,0.18,0.82,0.7512204636026312,199.0,10.0,0.79052734375
logiqa2,llama3-8b,lesson_source,errors,complex,3,0.0,completa,300,26,33,134,107,0.0867,0.11,-0.0233,0.5567,0.5333,-0.0233,-0.0167,0.5333,0.5333,3.0,0.0,0.6390516891744401,610.0,421.0,0.43499280512215344
logiqa2,llama3-8b,lesson_source,errors,complex,3,0.65,completa,300,13,19,148,120,0.0433,0.0633,-0.02,0.5567,0.5367,-0.02,-0.0133,0.5367,0.5367,1.19,0.44333333333333336,0.684480704590232,348.5,159.5,0.37708558747544885
logiqa2,llama3-8b,lesson_source,errors,complex,3,0.7,completa,300,7,5,162,126,0.0233,0.0167,0.0067,0.5567,0.5633,0.0067,0.0133,0.5633,0.5652,0.2633333333333333,0.82,0.7422204473872244,199.0,10.0,0.7744140625
logiqa2,llama3-8b,playbook,all,simple,1,0.0,completa,300,20,33,134,113,0.0667,0.11,-0.0433,0.5567,0.5133,-0.0433,-0.0367,0.5133,0.5151,1.0,0.0,,292.0,103.0,0.09837064844049181
logiqa2,llama3-8b,playbook,all,simple,3,0.0,completa,300,23,35,132,110,0.0767,0.1167,-0.04,0.5567,0.5167,-0.04,-0.0333,0.5167,0.5167,3.0,0.0,,360.0,171.0,0.14800580076020603
logiqa2,llama3-8b,playbook,all,complex,1,0.0,completa,300,24,37,130,109,0.08,0.1233,-0.0433,0.5567,0.5133,-0.0433,-0.0367,0.5133,0.5151,1.0,0.0,,286.0,97.0,0.12373144253809215
logiqa2,llama3-8b,playbook,all,complex,3,0.0,completa,300,21,37,130,112,0.07,0.1233,-0.0533,0.5567,0.5033,-0.0533,-0.0467,0.5033,0.5033,3.0,0.0,,317.0,128.0,0.047940324071666984
logiqa2,llama3-8b,playbook,errors,simple,1,0.0,completa,300,20,33,134,113,0.0667,0.11,-0.0433,0.5567,0.5133,-0.0433,-0.0367,0.5133,0.5151,1.0,0.0,,292.0,103.0,0.09837064844049181
logiqa2,llama3-8b,playbook,errors,simple,3,0.0,completa,300,23,35,132,110,0.0767,0.1167,-0.04,0.5567,0.5167,-0.04,-0.0333,0.5167,0.5167,3.0,0.0,,360.0,171.0,0.14800580076020603
logiqa2,llama3-8b,playbook,errors,complex,1,0.0,completa,300,26,36,131,107,0.0867,0.12,-0.0333,0.5567,0.5233,-0.0333,-0.0267,0.5233,0.5251,1.0,0.0,,291.0,102.0,0.25285439418811073
logiqa2,llama3-8b,playbook,errors,complex,3,0.0,completa,300,21,32,135,112,0.07,0.1067,-0.0367,0.5567,0.52,-0.0367,-0.03,0.52,0.52,3.0,0.0,,336.0,147.0,0.16897782228771874
