model,dataset,depth,pool,policy,threshold,n,baseline_accuracy,treatment_accuracy,difference,ci_low,ci_high,helped,harmed,mcnemar_p,memory_use_rate
mistral-7b,gsm8k,simple,all,threshold_top,0.299953248500824,435,0.31494252873563217,0.2850574712643678,-0.029885057471264367,-0.06896551724137931,0.006896551724137931,31,44,0.16542794172425662,1.0
mistral-7b,gsm8k,simple,all,placebo,,435,0.31494252873563217,0.30344827586206896,-0.011494252873563218,-0.05517241379310345,0.029885057471264367,41,46,0.6682849967188077,
mistral-7b,gsm8k,simple,errors,always_top,,435,0.31494252873563217,0.28735632183908044,-0.027586206896551724,-0.059770114942528735,0.004597701149425287,19,31,0.11892045255943628,
mistral-7b,gsm8k,simple,errors,threshold_top,0.59611350274086,435,0.31494252873563217,0.28735632183908044,-0.027586206896551724,-0.06206896551724138,0.004597701149425287,19,31,0.11892045255943628,0.6827586206896552
mistral-7b,gsm8k,simple,correct,always_top,,435,0.31494252873563217,0.31264367816091954,-0.0022988505747126436,-0.02528735632183908,0.020689655172413793,12,13,1.0,
mistral-7b,gsm8k,simple,correct,threshold_top,0.29995308339595794,435,0.31494252873563217,0.31264367816091954,-0.0022988505747126436,-0.02528735632183908,0.020747126436781296,12,13,1.0,0.2988505747126437
mistral-7b,logiqa2,complex,all,always_top,,615,0.5219512195121951,0.4943089430894309,-0.027642276422764227,-0.061829268292682926,0.0032520325203252032,46,63,0.12500454132583336,
mistral-7b,logiqa2,complex,all,threshold_top,0.8341604084521532,615,0.5219512195121951,0.5333333333333333,0.011382113821138212,0.0,0.022764227642276424,10,3,0.09228515625,0.08780487804878048
mistral-7b,logiqa2,complex,all,placebo,,615,0.5219512195121951,0.4845528455284553,-0.03739837398373984,-0.06666666666666667,-0.008130081300813009,32,55,0.017827552929735955,
mistral-7b,logiqa2,complex,errors,always_top,,615,0.5219512195121951,0.5284552845528455,0.0065040650406504065,-0.014634146341463415,0.027642276422764227,27,23,0.6718110337653656,
mistral-7b,logiqa2,complex,errors,threshold_top,0.80105816103518,615,0.5219512195121951,0.5349593495934959,0.013008130081300813,0.0016260162601626016,0.024390243902439025,10,2,0.03857421875,0.06016260162601626
mistral-7b,logiqa2,complex,correct,always_top,,615,0.5219512195121951,0.4878048780487805,-0.03414634146341464,-0.05853658536585366,-0.00975609756097561,19,40,0.008641499683281734,
mistral-7b,logiqa2,simple,all,always_top,,615,0.5219512195121951,0.4878048780487805,-0.03414634146341464,-0.07154471544715447,4.065040650384321e-05,55,76,0.08016994071057776,
mistral-7b,logiqa2,simple,all,threshold_top,0.8723219314590096,615,0.5219512195121951,0.5219512195121951,0.0,-0.011382113821138212,0.011382113821138212,6,6,1.0,0.06504065040650407
mistral-7b,logiqa2,simple,all,placebo,,615,0.5219512195121951,0.4894308943089431,-0.032520325203252036,-0.061788617886178863,-0.004878048780487805,35,55,0.04459752462791592,
mistral-7b,logiqa2,simple,errors,always_top,,615,0.5219512195121951,0.5333333333333333,0.011382113821138212,-0.014634146341463415,0.03577235772357724,36,29,0.45702078541058977,
mistral-7b,logiqa2,simple,errors,threshold_top,0.8396079061925411,615,0.5219512195121951,0.526829268292683,0.004878048780487805,-0.0065040650406504065,0.016260162601626018,7,4,0.548828125,0.04715447154471545
mistral-7b,logiqa2,simple,correct,always_top,,615,0.5219512195121951,0.4764227642276423,-0.04552845528455285,-0.07154471544715447,-0.02113821138211382,19,47,0.0007561070639613921,
mistral-7b,openbookqa,complex,all,always_top,,221,0.7601809954751131,0.746606334841629,-0.013574660633484163,-0.06787330316742081,0.049773755656108594,23,26,0.7754496546815659,
