dataset,student,depth,k,threshold,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,accuracy,accuracy_answered,mean_retrieved,pct_fallback_baseline,mcnemar_p
arc,llama3-8b,simple,3,0.69,298,7,11,241,39,0.0235,0.0369,-0.0134,0.8456,0.8322,-0.0134,0.8322,0.835,0.8355704697986577,0.5234899328859061,0.480682373046875
arc,llama3-8b,simple,3,0.73,298,4,7,245,42,0.0134,0.0235,-0.0101,0.8456,0.8356,-0.0101,0.8356,0.8384,0.35570469798657717,0.7583892617449665,0.548828125
arc,llama3-8b,complex,1,0.0,298,16,17,235,30,0.0537,0.057,-0.0034,0.8456,0.8423,-0.0034,0.8423,0.8423,1.0,0.0,1.0
arc,llama3-8b,complex,1,0.52,298,17,17,235,29,0.057,0.057,0.0,0.8456,0.8456,0.0,0.8456,0.8456,0.9966442953020134,0.003355704697986577,1.0
arc,llama3-8b,complex,1,0.65,298,16,14,238,30,0.0537,0.047,0.0067,0.8456,0.8523,0.0067,0.8523,0.8552,0.7315436241610739,0.2684563758389262,0.8555355519056321
arc,llama3-8b,complex,1,0.69,298,10,11,241,36,0.0336,0.0369,-0.0034,0.8456,0.8423,-0.0034,0.8423,0.8451,0.47651006711409394,0.5234899328859061,1.0
arc,llama3-8b,complex,1,0.73,298,8,7,245,38,0.0268,0.0235,0.0034,0.8456,0.849,0.0034,0.849,0.8519,0.24161073825503357,0.7583892617449665,1.0
arc,llama3-8b,complex,2,0.0,298,12,22,230,34,0.0403,0.0738,-0.0336,0.8456,0.8121,-0.0336,0.8121,0.8148,2.0,0.0,0.12144948495551944
arc,llama3-8b,complex,2,0.52,298,14,22,230,32,0.047,0.0738,-0.0268,0.8456,0.8188,-0.0268,0.8188,0.8188,1.9932885906040267,0.003355704697986577,0.24298495403490966
arc,llama3-8b,complex,2,0.65,298,11,15,237,35,0.0369,0.0503,-0.0134,0.8456,0.8322,-0.0134,0.8322,0.835,1.2651006711409396,0.2684563758389262,0.557197093963623
arc,llama3-8b,complex,2,0.69,298,10,10,242,36,0.0336,0.0336,0.0,0.8456,0.8456,0.0,0.8456,0.8485,0.714765100671141,0.5234899328859061,1.0
arc,llama3-8b,complex,2,0.73,298,5,8,244,41,0.0168,0.0268,-0.0101,0.8456,0.8356,-0.0101,0.8356,0.8384,0.3187919463087248,0.7583892617449665,0.5810546875
